"","salary","age","college","grad","comten","ceoten","sales","profits","mktval","profmarg"
"140",806,59,1,1,3,3,3000,257,3900,8.56666660308838
"141",310,40,1,0,18,1,2400,60,1300,2.5
"142",1119,61,1,0,34,9,2500,71,1200,2.83999991416931
"143",1287,59,1,1,4,3,4700,222,2700,4.72340440750122
"144",1170,57,1,1,9,3,1900,208,5600,10.9473686218262
"145",880,62,1,0,36,12,5300,229,4000,4.32075452804565
"146",1091,33,1,0,9,9,181,36,1300,19.8895034790039
"147",1100,65,1,0,18,6,563,-271,544,-48.1349906921387
"148",650,53,1,1,5,4,1482,40,557,2.69905543327332
"149",607,38,1,1,7,3,231,38,599,16.450216293335
"150",1133,63,1,0,9,9,870,37,686,4.25287342071533
"151",393,58,1,1,36,6,285,40,956,14.0350875854492
"152",605,53,1,0,16,4,422,30,505,7.10900497436523
"153",1444,59,1,1,2,2,6204,401,10700,6.46357202529907
"154",1033,62,1,1,30,1,5400,478,7300,8.85185146331787
"155",1142,50,1,1,11,3,2600,166,2200,6.38461542129517
"156",537,46,1,1,20,20,1200,17,669,1.41666662693024
"157",693,42,1,0,17,12,1400,206,3000,14.7142858505249
"158",439,57,1,1,26,12,2600,280,3800,10.7692308425903
"159",358,64,1,0,43,11,584,45,423,7.70547962188721
"160",1276,64,1,0,41,17,635,52,1300,8.1889762878418
"161",873,41,1,1,2,2,149,21,567,14.0939598083496
"162",537,57,1,1,35,1,11400,210,4800,1.84210526943207
"163",713,57,1,1,12,2,1600,55,1300,3.4375
"164",1350,68,1,1,5,5,3300,92,2100,2.78787875175476
"165",1268,47,1,0,20,4,1100,47,2500,4.27272748947144
"166",465,64,1,1,31,3,2400,326,2400,13.5833330154419
"167",693,46,1,1,7,3,2200,44,533,2
"168",369,49,1,1,4,1,65,-132,1200,-203.076919555664
"169",381,54,1,0,30,2,2700,386,4500,14.2962961196899
"170",467,49,1,1,13,0,513,49,534,9.55165672302246
"171",559,57,1,1,34,16,605,56,653,9.25619792938232
"172",218,57,1,1,33,5,504,41,421,8.13492107391357
"173",264,63,1,0,42,3,334,43,480,12.8742513656616
"174",185,58,1,0,39,1,766,49,560,6.39686679840088
"175",387,71,1,1,32,13,432,28,477,6.48148155212402
"176",2220,63,1,1,18,18,277,-80,540,-28.8808670043945
"177",445,69,1,0,23,0,249,31,828,12.4497995376587
